     1;	20200310124220_231;	00003;00186;00186;00023;02426;02381;00690;01043;00765;30686;21236;01442!;	869;	4;	3;	8;	19;
     2;	20200310124220_280;	00003;00186;00186;00023;02426;02381;00690;01043;00765;30686;21236;01442!;	1401;	6;	3;	14;	13;
     3;	20200310124220_330;	00003;00186;00186;00023;02426;02381;00690;01043;00765;30686;21236;01442!;	1032;	5;	3;	10;	16;
     4;	20200310124220_381;	00003;00186;00186;00023;02426;02381;00690;01043;00765;30686;21236;01442!;	1262;	5;	3;	14;	12;
     5;	20200310124220_432;	00003;00186;00186;00023;02426;02381;00690;01043;00765;30686;21236;01442!;	1454;	5;	3;	18;	11;
     6;	20200310124220_530;	00003;00186;00186;00023;02793;02894;01032;00749;01036;30549;21106;01405!;	129;	5;	3;	2;	68;
     7;	20200310124220_485;	00003;00186;00186;00023;02426;02381;00690;01043;00765;30686;21236;01442!;	1564;	5;	3;	15;	13;
     8;	20200310124220_581;	00003;00186;00186;00023;02793;02894;01032;00749;01036;30549;21106;01405!;	95;	4;	3;	1;	133;
     9;	20200310124220_631;	00003;00186;00186;00023;02793;02894;01032;00749;01036;30549;21106;01405!;	83;	4;	3;	1;	134;
    10;	20200310124220_730;	00003;00186;00186;00023;02793;02894;01032;00749;01036;30549;21106;01405!;	37;	2;	3;	1;	141;
    11;	20200310124220_686;	00003;00186;00186;00023;02793;02894;01032;00749;01036;30549;21106;01405!;	1341;	5;	3;	9;	17;
    12;	20200310124220_780;	00003;00186;00186;00023;02793;02894;01032;00749;01036;30549;21106;01405!;	39;	4;	4;	1;	141;
    13;	20200310124220_832;	00003;00186;00186;00023;02793;02894;01032;00749;01036;30549;21106;01405!;	50;	3;	3;	1;	141;
    14;	20200310124220_880;	00003;00186;00186;00023;02793;02894;01032;00749;01036;30549;21106;01405!;	35;	3;	3;	1;	140;
    15;	20200310124220_930;	00003;00186;00186;00023;02793;02894;01032;00749;01036;30549;21106;01405!;	37;	4;	3;	1;	141;
    16;	20200310124220_980;	00003;00186;00186;00023;02793;02894;01032;00749;01036;30549;21106;01405!;	36;	3;	3;	1;	140;
    17;	20200310124221_030;	00003;00186;00186;00023;02793;02894;01032;00749;01036;30549;21106;01405!;	36;	2;	3;	1;	149;
    18;	20200310124221_081;	00003;00187;00187;00023;02789;02809;01271;00955;00641;30771;21275;01493!;	34;	2;	3;	1;	150;
    19;	20200310124221_130;	00003;00187;00187;00023;02789;02809;01271;00955;00641;30771;21275;01493!;	31;	2;	3;	1;	150;
    20;	20200310124221_228;	00003;00187;00187;00023;02789;02809;01271;00955;00641;30771;21275;01493!;	29;	3;	3;	1;	156;
    21;	20200310124221_180;	00003;00187;00187;00023;02789;02809;01271;00955;00641;30771;21275;01493!;	1366;	5;	3;	13;	13;
    22;	20200310124221_280;	00003;00187;00187;00023;02789;02809;01271;00955;00641;30771;21275;01493!;	38;	3;	3;	1;	155;
    23;	20200310124221_330;	00003;00187;00187;00023;02789;02809;01271;00955;00641;30771;21275;01493!;	38;	4;	3;	1;	155;
    24;	20200310124221_378;	00003;00187;00187;00023;02789;02809;01271;00955;00641;30771;21275;01493!;	31;	3;	3;	1;	155;
    25;	20200310124221_430;	00003;00187;00187;00023;02789;02809;01271;00955;00641;30771;21275;01493!;	47;	2;	3;	1;	155;
    26;	20200310124221_478;	00003;00187;00187;00023;02789;02809;01271;00955;00641;30771;21275;01493!;	38;	2;	3;	1;	155;
    27;	20200310124221_530;	00003;00187;00187;00023;02789;02809;01271;00955;00641;30771;21275;01493!;	38;	3;	3;	1;	155;
    28;	20200310124221_580;	00003;00186;00186;00023;02788;02923;00869;00589;00974;30636;21120;01415!;	53;	3;	3;	1;	155;
    29;	20200310124221_630;	00003;00186;00186;00023;02788;02923;00869;00589;00974;30636;21120;01415!;	29;	4;	3;	1;	154;
    30;	20200310124221_681;	00003;00186;00186;00023;02788;02923;00869;00589;00974;30636;21120;01415!;	33;	3;	3;	1;	154;
    31;	20200310124221_728;	00003;00186;00186;00023;02788;02923;00869;00589;00974;30636;21120;01415!;	43;	2;	3;	1;	154;
    32;	20200310124221_781;	00003;00186;00186;00023;02788;02923;00869;00589;00974;30636;21120;01415!;	43;	3;	3;	1;	154;
    33;	20200310124221_831;	00003;00186;00186;00023;02788;02923;00869;00589;00974;30636;21120;01415!;	38;	3;	3;	1;	154;
    34;	20200310124221_881;	00003;00186;00186;00023;02788;02923;00869;00589;00974;30636;21120;01415!;	42;	3;	3;	1;	153;
    35;	20200310124221_930;	00003;00186;00186;00023;02788;02923;00869;00589;00974;30636;21120;01415!;	45;	3;	3;	1;	154;
    36;	20200310124221_981;	00003;00186;00186;00023;02788;02923;00869;00589;00974;30636;21120;01415!;	28;	3;	3;	1;	153;
    37;	20200310124222_030;	00003;00186;00186;00023;02788;02923;00869;00589;00974;30636;21120;01415!;	42;	3;	3;	1;	154;
    38;	20200310124222_080;	00003;00186;00186;00023;02788;02923;00869;00589;00974;30636;21120;01415!;	42;	3;	3;	1;	153;
    39;	20200310124222_131;	00003;00185;00185;00023;02790;02908;01286;00926;00645;30873;21262;01492!;	40;	3;	3;	1;	154;
    40;	20200310124222_181;	00003;00185;00185;00023;02790;02908;01286;00926;00645;30873;21262;01492!;	41;	2;	3;	1;	154;
    41;	20200310124222_231;	00003;00185;00185;00023;02790;02908;01286;00926;00645;30873;21262;01492!;	37;	3;	3;	1;	154;
    42;	20200310124222_280;	00003;00185;00185;00023;02790;02908;01286;00926;00645;30873;21262;01492!;	57;	3;	3;	1;	154;
    43;	20200310124222_330;	00003;00185;00185;00023;02790;02908;01286;00926;00645;30873;21262;01492!;	44;	3;	3;	1;	154;
    44;	20200310124222_380;	00003;00185;00185;00023;02790;02908;01286;00926;00645;30873;21262;01492!;	39;	3;	3;	1;	154;
    45;	20200310124222_430;	00003;00185;00185;00023;02790;02908;01286;00926;00645;30873;21262;01492!;	32;	3;	3;	1;	154;
    46;	20200310124222_478;	00003;00185;00185;00023;02790;02908;01286;00926;00645;30873;21262;01492!;	50;	3;	3;	1;	154;
    47;	20200310124222_531;	00003;00185;00185;00023;02790;02908;01286;00926;00645;30873;21262;01492!;	35;	3;	3;	1;	154;
    48;	20200310124222_580;	00003;00185;00185;00023;02790;02908;01286;00926;00645;30873;21262;01492!;	32;	2;	3;	1;	154;
    49;	20200310124222_630;	00003;00185;00185;00023;02790;02908;01286;00926;00645;30873;21262;01492!;	52;	3;	3;	1;	154;
    50;	20200310124222_680;	00003;00186;00186;00023;02789;02382;00540;00948;00666;30958;21319;01509!;	42;	3;	3;	1;	154;
    51;	20200310124222_730;	00003;00186;00186;00023;02789;02382;00540;00948;00666;30958;21319;01509!;	33;	2;	3;	1;	154;
    52;	20200310124222_780;	00003;00186;00186;00023;02789;02382;00540;00948;00666;30958;21319;01509!;	50;	2;	3;	1;	154;
    53;	20200310124222_830;	00003;00186;00186;00023;02789;02382;00540;00948;00666;30958;21319;01509!;	53;	3;	3;	1;	155;
